time	V(n006)
0.000000000000000e+00	1.843553e-05
3.906249889523705e-12	1.843553e-05
7.812499779047410e-12	1.843553e-05
1.562499955809482e-11	1.843553e-05
3.124999911618964e-11	1.843553e-05
6.249999823237928e-11	1.843553e-05
1.249999964647586e-10	1.843553e-05
2.499999929295171e-10	1.843553e-05
4.999999858590343e-10	1.843553e-05
9.999999717180685e-10	1.843553e-05
1.999999943436137e-09	1.843553e-05
3.999999886872274e-09	1.843553e-05
7.999999773744548e-09	1.843553e-05
1.599999954748910e-08	1.843553e-05
3.199999909497819e-08	1.843553e-05
6.399999818995639e-08	1.843553e-05
1.279999963799128e-07	1.843553e-05
2.559999927598255e-07	1.843553e-05
5.119999855196511e-07	1.843553e-05
9.026249855196511e-07	1.843553e-05
1.293249985519651e-06	1.843553e-05
1.683874985519651e-06	1.843553e-05
2.074499985519651e-06	1.843553e-05
2.465124985519651e-06	1.843553e-05
2.855749985519651e-06	1.843553e-05
3.246374985519651e-06	1.843553e-05
3.636999985519652e-06	1.843553e-05
4.027624985519652e-06	1.843553e-05
4.418249985519652e-06	1.843553e-05
4.808874985519652e-06	1.843553e-05
5.199499985519652e-06	1.843553e-05
5.590124985519653e-06	1.843553e-05
5.980749985519653e-06	1.843553e-05
6.371374985519653e-06	1.843553e-05
6.761999985519653e-06	1.843553e-05
7.152624985519653e-06	1.843553e-05
7.543249985519653e-06	1.843553e-05
7.933874985519654e-06	1.843553e-05
8.324499985519653e-06	1.843553e-05
8.715124985519652e-06	1.843553e-05
9.105749985519652e-06	1.843553e-05
9.496374985519651e-06	1.843553e-05
9.886999985519650e-06	1.843553e-05
1.027762498551965e-05	1.843553e-05
1.066824998551965e-05	1.843553e-05
1.105887498551965e-05	1.843553e-05
1.144949998551965e-05	1.843553e-05
1.184012498551965e-05	1.843553e-05
1.223074998551965e-05	1.843553e-05
1.262137498551965e-05	1.843553e-05
1.301199998551964e-05	1.843553e-05
1.340262498551964e-05	1.843553e-05
1.379324998551964e-05	1.843553e-05
1.418387498551964e-05	1.843553e-05
1.457449998551964e-05	1.843553e-05
1.496512498551964e-05	1.843553e-05
1.535574998551964e-05	1.843553e-05
1.574637498551964e-05	1.843553e-05
1.613699998551964e-05	1.843553e-05
1.652762498551965e-05	1.843553e-05
1.691824998551965e-05	1.843553e-05
1.730887498551965e-05	1.843553e-05
1.769949998551965e-05	1.843553e-05
1.809012498551965e-05	1.843553e-05
1.848074998551965e-05	1.843553e-05
